user_id,first_name,last_name,email,phone_number,registration_date
1,John,Doe,john.doe@email.com,4121234567,2025-11-21
2,Jane,Doe,jane.doe@email.com,4122345678,2025-10-21
3,Michael,Brown,michael.brown@email.com,4123456789,2025-9-21
4,Olivia,Davis,olivia.davis@email.com,4124567890,2025-8-21
5,William,Miller,william.miller@email.com,4125678910,2025-7-21
6,Sophia,Wilson,sophia.wilson@email.com,4126789101,2024-6-21
7,James,Anderson,james.anderson@email.com,4127891011,2024-5-21
8,Ava,Taylor,ava.taylor@email.com,4128910111,2024-4-21
9,Benjamin,Thomas,benjamin.thomas@email.com,4129101112,2024-3-21
10,Andrew,Smith,andrew.smith@email.com,4121011121,2024-2-21
